# SIMULACION DE COLISIONES MULTIPLES
# Practica 5 - Informatica II
#
# Box: 800 x 600
# Tiempo: 24.19 s
# Particulas activas: 2/4
# Total colisiones: 25
#
# OBSTACULOS
obstaculo,0,200,150,80,80
obstaculo,1,520,150,80,80
obstaculo,2,200,370,80,80
obstaculo,3,520,370,80,80
#
# TRAYECTORIAS DE PARTICULAS
# Formato: trayectoria,tiempo,id,x,y,vx,vy,masa,activa
trayectoria,0.62,3,611.422,431.8,119,-110,0.8,1
trayectoria,0.63,0,194.5,175.6,150,120,1,1
trayectoria,0.63,1,619.724,188.2,126,140,1.5,1
trayectoria,0.63,2,190.163,418.1,-112,-130,1.2,1
trayectoria,0.63,3,612.612,430.7,119,-110,0.8,1
trayectoria,0.64,0,194,176.8,-105,120,1,1
trayectoria,0.64,1,620.984,189.6,126,140,1.5,1
trayectoria,0.64,2,189.043,416.8,-112,-130,1.2,1
trayectoria,0.64,3,613.802,429.6,119,-110,0.8,1
trayectoria,0.65,0,192.95,178,-105,120,1,1
trayectoria,0.65,1,622.244,191,126,140,1.5,1
trayectoria,0.65,2,187.923,415.5,-112,-130,1.2,1
trayectoria,0.65,3,614.992,428.5,119,-110,0.8,1
trayectoria,0.66,0,191.9,179.2,-105,120,1,1
trayectoria,0.66,1,623.504,192.4,126,140,1.5,1
trayectoria,0.66,2,186.803,414.2,-112,-130,1.2,1
trayectoria,0.66,3,616.182,427.4,119,-110,0.8,1
trayectoria,0.67,0,190.85,180.4,-105,120,1,1
trayectoria,0.67,1,624.764,193.8,126,140,1.5,1
trayectoria,0.67,2,185.683,412.9,-112,-130,1.2,1
trayectoria,0.67,3,617.372,426.3,119,-110,0.8,1
trayectoria,0.68,0,189.8,181.6,-105,120,1,1
trayectoria,0.68,1,626.024,195.2,126,140,1.5,1
trayectoria,0.68,2,184.563,411.6,-112,-130,1.2,1
trayectoria,0.68,3,618.562,425.2,119,-110,0.8,1
trayectoria,0.69,0,188.75,182.8,-105,120,1,1
trayectoria,0.69,1,627.284,196.6,126,140,1.5,1
trayectoria,0.69,2,183.443,410.3,-112,-130,1.2,1
