# SIMULACION DE COLISIONES MULTIPLES
# Practica 5 - Informatica II
#
# Box: 800 x 600
# Tiempo: 22.87 s
# Particulas activas: 3/4
# Total colisiones: 11
#
# OBSTACULOS
#
# TRAYECTORIAS DE PARTICULAS
# Formato: trayectoria,tiempo,id,x,y,vx,vy,masa,activa
trayectoria,0.57,3,471.5,393,-50,-100,0.8,1
trayectoria,0.58,0,258,300,100,0,1,1
trayectoria,0.58,1,542,300,-100,0,1,1
trayectoria,0.58,2,329,208,50,100,0.8,1
trayectoria,0.58,3,471,392,-50,-100,0.8,1
trayectoria,0.59,0,259,300,100,0,1,1
trayectoria,0.59,1,541,300,-100,0,1,1
trayectoria,0.59,2,329.5,209,50,100,0.8,1
trayectoria,0.59,3,470.5,391,-50,-100,0.8,1
trayectoria,0.6,0,260,300,100,0,1,1
trayectoria,0.6,1,540,300,-100,0,1,1
trayectoria,0.6,2,330,210,50,100,0.8,1
trayectoria,0.6,3,470,390,-50,-100,0.8,1
trayectoria,0.61,0,261,300,100,0,1,1
trayectoria,0.61,1,539,300,-100,0,1,1
trayectoria,0.61,2,330.5,211,50,100,0.8,1
trayectoria,0.61,3,469.5,389,-50,-100,0.8,1
trayectoria,0.62,0,262,300,100,0,1,1
trayectoria,0.62,1,538,300,-100,0,1,1
trayectoria,0.62,2,331,212,50,100,0.8,1
trayectoria,0.62,3,469,388,-50,-100,0.8,1
trayectoria,0.63,0,263,300,100,0,1,1
trayectoria,0.63,1,537,300,-100,0,1,1
trayectoria,0.63,2,331.5,213,50,100,0.8,1
trayectoria,0.63,3,468.5,387,-50,-100,0.8,1
trayectoria,0.64,0,264,300,100,0,1,1
trayectoria,0.64,1,536,300,-100,0,1,1
trayectoria,0.64,2,332,214,50,100,0.8,1
trayectoria,0.64,3,468,386,-50,-100,0.8,1
trayectoria,0.65,0,265,300,100,0,1,1
trayectoria,0.65,1,535,300,-100,0,1,1
trayectoria,0.65,2,332.5,215,50,100,0.8,1
trayectoria,0.65,3,467.5,385,-50,-100,0.8,1
trayectoria,0.66,0,266,300,100,0,1,1
trayectoria,0.66,1,534,300,-100,0,1,1
trayectoria,0.66,2,333,216,50,100,0.8,1
trayectoria,0.66,3,467,384,-50,-100,0.8,1
trayectoria,0.67,0,267,300,100,0,1,1
trayectoria,0.67,1,533,300,-100,0,1,1
trayectoria,0.67,2,333.5,217,50,100,0.8,1
trayectoria,0.67,3,466.5,383,-50,-100,0.8,1
trayectoria,0.68,0,268,300,100,0,1,1
trayectoria,0.68,1,532,300,-100,0,1,1
trayectoria,0.68,2,334,218,50,100,0.8,1
trayectoria,0.68,3,466,382,-50,-100,0.8,1
trayectoria,0.69,0,269,300,100,0,1,1
trayectoria,0.69,1,531,300,-100,0,1,1
trayectoria,0.69,2,334.5,219,50,100,0.8,1
trayectoria,0.69,3,465.5,381,-50,-100,0.8,1
trayectoria,0.7,0,270,300,100,0,1,1
trayectoria,0.7,1,530,300,-100,0,1,1
trayectoria,0.7,2,335,220,50,100,0.8,1
trayectoria,0.7,3,465,380,-50,-100,0.8,1
trayectoria,0.71,0,271,300,100,0,1,1
trayectoria,0.71,1,529,300,-100,0,1,1
trayectoria,0.71,2,335.5,221,50,100,0.8,1
trayectoria,0.71,3,464.5,379,-50,-100,0.8,1
trayectoria,0.72,0,272,300,100,0,1,1
trayectoria,0.72,1,528,300,-100,0,1,1
trayectoria,0.72,2,336,222,50,100,0.8,1
trayectoria,0.72,3,464,378,-50,-100,0.8,1
trayectoria,0.73,0,273,300,100,0,1,1
trayectoria,0.73,1,527,300,-100,0,1,1
trayectoria,0.73,2,336.5,223,50,100,0.8,1
trayectoria,0.73,3,463.5,377,-50,-100,0.8,1
trayectoria,0.74,0,274,300,100,0,1,1
trayectoria,0.74,1,526,300,-100,0,1,1
trayectoria,0.74,2,337,224,50,100,0.8,1
trayectoria,0.74,3,463,376,-50,-100,0.8,1
trayectoria,0.75,0,275,300,100,0,1,1
trayectoria,0.75,1,525,300,-100,0,1,1
trayectoria,0.75,2,337.5,225,50,100,0.8,1
trayectoria,0.75,3,462.5,375,-50,-100,0.8,1
trayectoria,0.76,0,276,300,100,0,1,1
trayectoria,0.76,1,524,300,-100,0,1,1
trayectoria,0.76,2,338,226,50,100,0.8,1
trayectoria,0.76,3,462,374,-50,-100,0.8,1
trayectoria,0.77,0,277,300,100,0,1,1
trayectoria,0.77,1,523,300,-100,0,1,1
trayectoria,0.77,2,338.5,227,50,100,0.8,1
trayectoria,0.77,3,461.5,373,-50,-100,0.8,1
trayectoria,0.78,0,278,300,100,0,1,1
trayectoria,0.78,1,522,300,-100,0,1,1
trayectoria,0.78,2,339,228,50,100,0.8,1
trayectoria,0.78,3,461,372,-50,-100,0.8,1
trayectoria,0.79,0,279,300,100,0,1,1
trayectoria,0.79,1,521,300,-100,0,1,1
trayectoria,0.79,2,339.5,229,50,100,0.8,1
trayectoria,0.79,3,460.5,371,-50,-100,0.8,1
trayectoria,0.8,0,280,300,100,0,1,1
trayectoria,0.8,1,520,300,-100,0,1,1
trayectoria,0.8,2,340,230,50,100,0.8,1
trayectoria,0.8,3,460,370,-50,-100,0.8,1
trayectoria,0.81,0,281,300,100,0,1,1
trayectoria,0.81,1,519,300,-100,0,1,1
trayectoria,0.81,2,340.5,231,50,100,0.8,1
trayectoria,0.81,3,459.5,369,-50,-100,0.8,1
trayectoria,0.82,0,282,300,100,0,1,1
trayectoria,0.82,1,518,300,-100,0,1,1
trayectoria,0.82,2,341,232,50,100,0.8,1
trayectoria,0.82,3,459,368,-50,-100,0.8,1
trayectoria,0.83,0,283,300,100,0,1,1
trayectoria,0.83,1,517,300,-100,0,1,1
trayectoria,0.83,2,341.5,233,50,100,0.8,1
trayectoria,0.83,3,458.5,367,-50,-100,0.8,1
trayectoria,0.84,0,284,300,100,0,1,1
trayectoria,0.84,1,516,300,-100,0,1,1
trayectoria,0.84,2,342,234,50,100,0.8,1
trayectoria,0.84,3,458,366,-50,-100,0.8,1
trayectoria,0.85,0,285,300,100,0,1,1
trayectoria,0.85,1,515,300,-100,0,1,1
trayectoria,0.85,2,342.5,235,50,100,0.8,1
trayectoria,0.85,3,457.5,365,-50,-100,0.8,1
trayectoria,0.86,0,286,300,100,0,1,1
trayectoria,0.86,1,514,300,-100,0,1,1
trayectoria,0.86,2,343,236,50,100,0.8,1
trayectoria,0.86,3,457,364,-50,-100,0.8,1
trayectoria,0.87,0,287,300,100,0,1,1
trayectoria,0.87,1,513,300,-100,0,1,1
trayectoria,0.87,2,343.5,237,50,100,0.8,1
trayectoria,0.87,3,456.5,363,-50,-100,0.8,1
trayectoria,0.88,0,288,300,100,0,1,1
trayectoria,0.88,1,512,300,-100,0,1,1
trayectoria,0.88,2,344,238,50,100,0.8,1
trayectoria,0.88,3,456,362,-50,-100,0.8,1
trayectoria,0.89,0,289,300,100,0,1,1
trayectoria,0.89,1,511,300,-100,0,1,1
trayectoria,0.89,2,344.5,239,50,100,0.8,1
trayectoria,0.89,3,455.5,361,-50,-100,0.8,1
trayectoria,0.9,0,290,300,100,0,1,1
trayectoria,0.9,1,510,300,-100,0,1,1
trayectoria,0.9,2,345,240,50,100,0.8,1
trayectoria,0.9,3,455,360,-50,-100,0.8,1
trayectoria,0.91,0,291,300,100,0,1,1
trayectoria,0.91,1,509,300,-100,0,1,1
trayectoria,0.91,2,345.5,241,50,100,0.8,1
trayectoria,0.91,3,454.5,359,-50,-100,0.8,1
trayectoria,0.92,0,292,300,100,0,1,1
trayectoria,0.92,1,508,300,-100,0,1,1
trayectoria,0.92,2,346,242,50,100,0.8,1
trayectoria,0.92,3,454,358,-50,-100,0.8,1
trayectoria,0.93,0,293,300,100,0,1,1
trayectoria,0.93,1,507,300,-100,0,1,1
trayectoria,0.93,2,346.5,243,50,100,0.8,1
trayectoria,0.93,3,453.5,357,-50,-100,0.8,1
trayectoria,0.94,0,294,300,100,0,1,1
trayectoria,0.94,1,506,300,-100,0,1,1
trayectoria,0.94,2,347,244,50,100,0.8,1
trayectoria,0.94,3,453,356,-50,-100,0.8,1
trayectoria,0.95,0,295,300,100,0,1,1
trayectoria,0.95,1,505,300,-100,0,1,1
trayectoria,0.95,2,347.5,245,50,100,0.8,1
trayectoria,0.95,3,452.5,355,-50,-100,0.8,1
trayectoria,0.96,0,296,300,100,0,1,1
trayectoria,0.96,1,504,300,-100,0,1,1
trayectoria,0.96,2,348,246,50,100,0.8,1
trayectoria,0.96,3,452,354,-50,-100,0.8,1
trayectoria,0.97,0,297,300,100,0,1,1
trayectoria,0.97,1,503,300,-100,0,1,1
trayectoria,0.97,2,348.5,247,50,100,0.8,1
trayectoria,0.97,3,451.5,353,-50,-100,0.8,1
trayectoria,0.98,0,298,300,100,0,1,1
trayectoria,0.98,1,502,300,-100,0,1,1
trayectoria,0.98,2,349,248,50,100,0.8,1
trayectoria,0.98,3,451,352,-50,-100,0.8,1
